Anonymous:<love> love

Anonymous:<like> like

Anonymous:<like> :)

Anonymous:<like> good

Anonymous:<like> nice

Anonymous:<dislike> dislike

Anonymous:<dislike> bad

Anonymous:<dislike> :(

Anonymous:<hate> hate

Anonymous:<rage> rage

Anonymous:<anger> anger

Anonymous:<anger> mad

Anonymous:<anger> !

Anonymous:<calm> calm

Anonymous:<serene> serene

Anonymous:<ecstatic> ecstatic

Anonymous:<happy> happy

Anonymous:<happy> joy

Anonymous:<happy> smile

Anonymous:<sad> sad

Anonymous:<sad> frown

Anonymous:<sad> depressed

Anonymous:<sad> depressing

Anonymous:<crying> crying

Anonymous:<crying> cry

Anonymous:<panic> panic

Anonymous:<afraid> afraid

Anonymous:<afraid> yikes

Anonymous:<afraid> scarry

Anonymous:<afraid> scarred

Anonymous:<confident> confident

Anonymous:<courageous> courageous

Anonymous:<surprise> surprise

Anonymous:<surprise> surprize

Anonymous:<bored> bored

Anonymous:<bored> boring

Anonymous:<bored> zzz

Anonymous:<bored> yawn

Anonymous:<laughter> laughter

Anonymous:<laughter> lol

Anonymous:<serious> serious
